Features Properties Provinsi,Longitude,Latitude
Aceh,96.9095227480001,4.22508189200005
Sumatera Utara,99.0578878490001,2.18477921500005
Sumatera Barat,100.46680503,-0.85191434799998
Riau,101.812891954,0.510525849000032
Jambi,103.59932,-1.61775
Sumatera Selatan,104.170419445,-3.21334682199995
Bengkulu,102.26312,-3.79116
Bangka Belitung,105.986948082,-2.25295641099996
Lampung,105.018313051,-4.91807308699993
Kepulauan Riau,108.202228889,3.91594724100003
DKI Jakarta,106.82649,-6.17148
Jawa Barat,107.602807898,-6.91998021599994
Jawa Tengah,110.201112529,-7.25897038299996
Daerah Istimewa Yogyakarta,110.445366971,-7.89501381499997
Jawa Timur,112.733678801,-7.72011301899994
Banten,106.109197069,-6.45618159899993
Bali,115.131650995,-8.36974326099994
Nusa Tenggara Barat,117.506862452,-8.60665208399996
Nusa Tenggara Timur,121.14182917,-8.60484333199997
Kalimantan Barat,111.120762401,-0.085901233999948
Kalimantan Tengah,113.181047852,-1.63434004499993
Kalimantan Selatan,115.311307834,-2.44977913699995
Kalimantan Timur,116.470858393,0.461046227000054
Kalimantan Utara,116.216718309,2.88882096100002
Sulawesi Utara,124.53537885,1.28609768700005
Sulawesi Tengah,120.4495925,-1.45921495399995
Sulawesi Selatan,120.161157704,-3.74711571199993
Sulawesi Tenggara,122.078678056,-4.13280397099993
Gorontalo,123.06184,0.53707
Sulawesi Barat,119.343471383,-2.46190201499996
Maluku,129.360425,-3.12611934299997
Maluku Utara,128.015929442,0.869337001000019
Papua,140,-5
Papua Barat,132.968341712,-2.04172328199996
Indonesia,112.333834,-4.500856
